"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"9956","Normal/Others","WS/MP418/2024-2025/153943-Setting up of laboratories","Bihar","ARARIA(DISTRICT PLANNING OFFICER ARARIA_IDA)","Pradeep Kumar Singh","ARARIA","Purchase of  Equipment and furniture/accessories for setting up Laboratories as per enclosed list in following schools/institutions: 1 +2 High School Araria","22-Nov-2024","31-Jan-2025","2475000","Physical Inspection"
"9957","Normal/Others","WS/MP418/2024-2025/153944-Setting up of laboratories","Bihar","ARARIA(DISTRICT PLANNING OFFICER ARARIA_IDA)","Pradeep Kumar Singh","ARARIA","Purchase of  Equipment and furniture/accessories for setting up Laboratories as per enclosed list in following schools/institutions: 1 +2 Mahatma Gandhi Smarak High Schoo ARARIA R.S","22-Nov-2024","31-Jan-2025","2475000","Physical Inspection"
"9958","Normal/Others","WS/MP761/2025-2026/153945-Construction of community centers and community halls","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Arvind Dharmapuri","NIZAMABAD","Construction of Community hall in Munnurukapu wada","22-Nov-2024","02-May-2025","350000","Work Completed"
"9959","Normal/Others","WS/MP453/2024-2025/153947-Construction of community centers and community halls","Odisha","KORAPUT(District Collector Koraput_IDA)","Saptagiri Sankar Ulaka","KORAPUT(ST)","Construction of Community Hall near Tala Street Umuri, Umuri GP under Koraput Block","22-Nov-2024","05-Mar-2025","500000","Work partially Completed"
"9960","Normal/Others","WS/MP571/2025-2026/153948-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Goa","NORTH GOA(DISTRICT COLLECTOR NORTH GOA_IDA)","Shripad Yesso Naik","NORTH GOA","three wheeler bike to shri Navnath Dhawaskar, sarvan , Karapur, Bicholim","06-Dec-2024","31-Oct-2025","130000","Work partially Completed"
"9961","Normal/Others","WS/MP571/2025-2026/153949-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Goa","NORTH GOA(DISTRICT COLLECTOR NORTH GOA_IDA)","Shripad Yesso Naik","NORTH GOA","Three Wheler bike to Shri Mahesh Vishwanath Naik, Navelim, Bicholim","05-Dec-2024","16-Jan-2026","130000","Work partially Completed"
"9962","Normal/Others","WS/MP571/2025-2026/153952-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Goa","NORTH GOA(DISTRICT COLLECTOR NORTH GOA_IDA)","Shripad Yesso Naik","NORTH GOA","Three Wheeler bike to Shri Raju J Reddy, Old Goa Ella","06-Dec-2024","16-Jan-2026","130000","Work partially Completed"
"9963","Normal/Others","WS/MP571/2025-2026/153953-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Goa","NORTH GOA(DISTRICT COLLECTOR NORTH GOA_IDA)","Shripad Yesso Naik","NORTH GOA","Three Wheeler bike to Leena Sawant, Karaswado, Mapusa","06-Dec-2024","31-Oct-2025","130000","Work partially Completed"
"9964","Normal/Others","WS/MP650/2024-2025/153955-Installing tube-wells and borewells","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Shankar Lalwani","INDORE","Motor pump installation work with tube well mining for public use, including recharge pit, in New Palasia Back Side of Chhapan Dukan Ward 43 VS Indore-5","28-Nov-2024","24-Dec-2024","424527","Physical Inspection"
"9965","Normal/Others","WS/MP650/2024-2025/153956-Installing tube-wells and borewells","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Shankar Lalwani","INDORE","Motor pump installation work with tube well mining for public use, including recharge pit, in Rakhi nagar ward-16 Vidhansabha indore-1","28-Nov-2024","24-Dec-2024","437826","Physical Inspection"
"9966","Normal/Others","WS/MP761/2025-2026/153958-Construction of additional rooms and halls in the existing public and community building","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Arvind Dharmapuri","NIZAMABAD","Construction of Additional classroom in Saraswathi Shishumandir near IB Road guest house","22-Nov-2024","28-Nov-2025","495000","Work Completed"
"9967","Normal/Others","WS/MP650/2024-2025/153959-Installing tube-wells and borewells","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Shankar Lalwani","INDORE","Motor pump installation work with tube well mining for public use, including recharge pit, in  Nehru Nagar Back side of Sheetgrag, near Prajapati Matke Rau  Nagar Parishad Rau Ward 5 VS RAU District indore","28-Nov-2024","24-Dec-2024","427245","Physical Inspection"
"9968","Normal/Others","WS/MP761/2024-2025/153960-Construction of community centers and community halls","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Arvind Dharmapuri","NIZAMABAD","Construction of Community hall in Gudetikapu wada","22-Nov-2024","15-Mar-2025","350000","Work Completed"
"9969","Normal/Others","WS/MP761/2025-2026/153961-Construction of community centers and community halls","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Arvind Dharmapuri","NIZAMABAD","Construction of Community hall in Arekatika wada","22-Nov-2024","22-Jan-2026","300000","Work Completed"
"9970","Normal/Others","WS/MP453/2024-2025/153962-Construction of community centers and community halls","Odisha","KORAPUT(District Collector Koraput_IDA)","Saptagiri Sankar Ulaka","KORAPUT(ST)","Construction of Sadar Mandap at Kumar Limka, Padmapur GP of Koraput Block","22-Nov-2024","05-Mar-2025","250000","Physical Inspection"
"9971","Normal/Others","WS/MP453/2024-2025/153963-Construction of community centers and community halls","Odisha","KORAPUT(District Collector Koraput_IDA)","Saptagiri Sankar Ulaka","KORAPUT(ST)","Construction of Sadar Mandap at Sapsil Paiko Sahi, Padmapur GP of Koraput Block","22-Nov-2024","05-Mar-2025","250000","Work partially Completed"
"9972","Normal/Others","WS/MP761/2025-2026/153965-Construction of community centers and community halls","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Arvind Dharmapuri","NIZAMABAD","Construction of Community hall in Vishwakarma Manumaya wada in Sairam Colony","22-Nov-2024","03-Jan-2026","300000","Work Completed"
"9973","Normal/Others","WS/MP761/2025-2026/153966-Construction of community centers and community halls","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Arvind Dharmapuri","NIZAMABAD","Construction of Community hallin Madiga wada , Yakinpur","22-Nov-2024","30-Aug-2025","295405","Physical Inspection"
"9974","Normal/Others","WS/MP761/2025-2026/153967-Construction of community centers and community halls","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Arvind Dharmapuri","NIZAMABAD","Construction of Community hall in Mudiraj wada","22-Nov-2024","30-Aug-2025","291213","Physical Inspection"
"9975","Normal/Others","WS/MP453/2024-2025/153968-Construction of culverts and bridges","Odisha","KORAPUT(District Collector Koraput_IDA)","Saptagiri Sankar Ulaka","KORAPUT(ST)","Construction of Culvert and CD work at Daliambo Chowk to Lalguda, Mahadeiput GP under Koraput Block","22-Nov-2024","05-Mar-2025","500000","Sanction"
"9976","Normal/Others","WS/MP761/2025-2026/153970-Construction of common work sheds/ common covered sitting area","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Arvind Dharmapuri","NIZAMABAD","Construction of Tin shed near Sri Pancha Linga Rajarajeshwara Swamy Devastanam","22-Nov-2024","27-Oct-2025","300000","Work Completed"
"9977","Normal/Others","WS/MP453/2024-2025/153971-Construction of community centers and community halls","Odisha","KORAPUT(District Collector Koraput_IDA)","Saptagiri Sankar Ulaka","KORAPUT(ST)","Construction of Community Hall at Sukriguda Rana Street, Umuri GP of Koraput Block","22-Nov-2024","05-Mar-2025","300000","Sanction"
"9978","Normal/Others","WS/MP761/2026-2027/153972-Construction of common work sheds/ common covered sitting area","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Arvind Dharmapuri","NIZAMABAD","Construction of Tin shed near Nagulamma Temple","22-Nov-2024","17-Aug-2026","350000","Sanction"
"9979","Normal/Others","WS/MP453/2024-2025/153974-Construction of community centers and community halls","Odisha","KORAPUT(District Collector Koraput_IDA)","Saptagiri Sankar Ulaka","KORAPUT(ST)","Construction of Community Hall at Tala Mangara, Kendar GP, Koraput Block","22-Nov-2024","05-Mar-2025","300000","Work partially Completed"
"9980","Normal/Others","WS/MP453/2024-2025/153975-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","KORAPUT(District Collector Koraput_IDA)","Saptagiri Sankar Ulaka","KORAPUT(ST)","Construction of Paver Block Road at New Street, Maliguda, Manbar GP, Koraput Block","22-Nov-2024","05-Mar-2025","300000","Physical Inspection"
"9981","Normal/Others","WS/MP761/2025-2026/153976-Construction of boundary walls of existing public and community buildings","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Arvind Dharmapuri","NIZAMABAD","Construction of Boundary wall to existing community hall near Peddamma Temple","22-Nov-2024","18-Jul-2025","400000","Physical Inspection"
"9982","Normal/Others","WS/MP453/2024-2025/153977-Construction of community centers and community halls","Odisha","KORAPUT(District Collector Koraput_IDA)","Saptagiri Sankar Ulaka","KORAPUT(ST)","Construction of Sadar Mandap at Bogei Padar, Majhi Sahi, Deoghati GP under Koraput Block","22-Nov-2024","05-Mar-2025","200000","Work Completed"
"9983","Normal/Others","WS/MP761/2026-2027/153979-Construction of community centers and community halls","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Arvind Dharmapuri","NIZAMABAD","Construction of Community hall near Raithu Mitra Munnurukapu Sangham","22-Nov-2024","17-Aug-2026","400000","Sanction"
"9984","Normal/Others","WS/MP761/2025-2026/153980-Construction of common work sheds/ common covered sitting area","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Arvind Dharmapuri","NIZAMABAD","Construction of Tin shed near Hanuman mandir,Rathnapur","22-Nov-2024","03-Jan-2026","350000","Work Completed"
"9985","Normal/Others","WS/MP485/2024-2025/153982-Installing community drinking water plants","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","JOYNAGAR(SC)","Construction of Water Supply System with Submerssible Pump and Overhead Tank near Mahim Laskar House, Plot no-663, Khatian- 330, JL No-94, Mouza-Jouthiya, Joynagar-II, Village- Jauthia","22-Nov-2024","19-Mar-2025","449515","Sanction"
"9986","Normal/Others","WS/MP761/2025-2026/153983-Construction of community centers and community halls","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Arvind Dharmapuri","NIZAMABAD","Construction of Community hall near Shalivahana Kummari Sangham, Ailapur","22-Nov-2024","22-Jan-2026","250000","Work Completed"
"9987","Normal/Others","WS/MP453/2025-2026/153990-Development of public parks","Odisha","KORAPUT(District Collector Koraput_IDA)","Saptagiri Sankar Ulaka","KORAPUT(ST)","5 Supply boats with life Jackets for Chandan Pokhori at Ward No 12, Koraput Municipality","22-Nov-2024","25-Jun-2025","700000","Sanction"
"9988","Normal/Others","WS/MP485/2024-2025/153991-Installing community drinking water plants","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","JOYNAGAR(SC)","Construction of Water Supply System with Submerssible Pump and Overhead Tank near Manirtat Manipukur Hat, Plot no-1238/1463, Khatian- 80, JL No-143, Mouza-Manirtat, Joynagar-II, Village- Manirtala","22-Nov-2024","19-Mar-2025","449515","Vendor Identification"
"9989","Normal/Others","WS/MP453/2025-2026/153992-Construction of community centers and community halls","Odisha","KORAPUT(District Collector Koraput_IDA)","Saptagiri Sankar Ulaka","KORAPUT(ST)","Construction of Community Hall at Mission Compound near Petrol Pump of Koraput Municipality","22-Nov-2024","25-Jun-2025","1000000","Sanction"
"9990","Normal/Others","WS/MP18024/2025-2026/153993-Construction of community centers and community halls","Assam","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","GAURAV GOGOI","JORHAT","Development of Community Hall (Toilet) at Gajpuria, Ward no 1, Jorhat Town","22-Nov-2024","06-Jun-2025","200000","Sanction"
"9991","Normal/Others","WS/MP18024/2025-2026/153994-Construction of community centers and community halls","Assam","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","GAURAV GOGOI","JORHAT","Development of Community Centre near at Jorhat Kalibari, Ward no 4, Jorhat Town","22-Nov-2024","06-Jun-2025","250000","Sanction"
"9992","Normal/Others","WS/MP18024/2025-2026/153995-Construction of boundary walls of existing public and community buildings","Assam","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","GAURAV GOGOI","JORHAT","Construction of Boundary Wall of 4 no Ward LP School, Ward no 12, Jorhat Town","22-Nov-2024","06-Jun-2025","250000","Vendor Identification"
"9993","Normal/Others","WS/MP18024/2025-2026/153996-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","GAURAV GOGOI","JORHAT","Construction of Drain at Rudrabaruah Path, Jail Road, Ward no 15, Jorhat Town","22-Nov-2024","06-Jun-2025","250000","Vendor Identification"
"9994","Normal/Others","WS/MP18024/2025-2026/153997-Construction of community centers and community halls","Assam","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","GAURAV GOGOI","JORHAT","Development of Community Hall near at Bansbari Puja Mandir, Ward no 17, Jorhat Town","22-Nov-2024","06-Jun-2025","250000","Vendor Identification"
"9995","Normal/Others","WS/MP485/2024-2025/153998-Installing community drinking water plants","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","JOYNAGAR(SC)","Construction of Water Supply System with Submerssible Pump and Overhead Tank near Manirtat Raimani Institution, Plot no-3664, Khatian- 3296, JL No-143, Mouza-Manirtat, Jonagar-II, Village- Manirtala","22-Nov-2024","19-Mar-2025","449515","Vendor Identification"
"9996","Normal/Others","WS/MP485/2024-2025/153999-Street lights","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","JOYNAGAR(SC)","Construction of Solar High Mast light at Gopalnagar Kalikapur AHAS SNGHA Play Ground under Baishata Gram Panchayat","22-Nov-2024","19-Mar-2025","172484","Vendor Identification"
"9997","Normal/Others","WS/MP485/2025-2026/154000-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","JOYNAGAR(SC)","Costruction of CC road from Sushil Halder  house to Batabrikhha under Manirtat Gram Panchayat","22-Nov-2024","26-May-2025","349557","Physical Inspection"
"9998","Normal/Others","WS/MP485/2024-2025/154001-Street lights","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","JOYNAGAR(SC)","Installation of highmast ligh ( Hight - 6 m, No of light at the top hight is four ) at the near of Maydah Kalibari , G.P. -Maydah,  under Block Jaynagar-II","22-Nov-2024","19-Mar-2025","90000","Physical Inspection"
"9999","Normal/Others","WS/MP453/2024-2025/154002-Construction of culverts and bridges","Odisha","KORAPUT(District Collector Koraput_IDA)","Saptagiri Sankar Ulaka","KORAPUT(ST)","Construction of Culvert at Chaulkanti to Gambariguda Road, Dasmanthpur GP of Dasmanthpur Block","22-Nov-2024","05-Mar-2025","300000","Physical Inspection"
"10000","Normal/Others","WS/MP453/2024-2025/154003-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","KORAPUT(District Collector Koraput_IDA)","Saptagiri Sankar Ulaka","KORAPUT(ST)","Construction of Protection wall at Talagadri Village, Gadiaguda GP, Dasmanthpur Block","22-Nov-2024","05-Mar-2025","250000","Work partially Completed"
"10001","Normal/Others","WS/MP453/2024-2025/154004-Construction of culverts and bridges","Odisha","KORAPUT(District Collector Koraput_IDA)","Saptagiri Sankar Ulaka","KORAPUT(ST)","Construction of Culvert at RD Road Gurumaitota Chowk to Dadiaguda, Nandigaon GP of Dasmanthpur Block","22-Nov-2024","05-Mar-2025","200000","Work Completed"
"10002","Normal/Others","WS/MP18024/2025-2026/154005-Construction of community centers and community halls","Assam","SIVASAGAR(Deputy Commissioner Sivsagar_IDA)","GAURAV GOGOI","JORHAT","Development of Community Centre near at  Puccaghat Jumma Mazid, Ward no 1","22-Nov-2024","04-Dec-2025","200000","Sanction"
"10003","Normal/Others","WS/MP18024/2025-2026/154006-Construction of community centers and community halls","Assam","SIVASAGAR(Deputy Commissioner Sivsagar_IDA)","GAURAV GOGOI","JORHAT","Construction of Boundary Wall and Roof at Amulapatty Namghar, Ward no 7, Sivasagar Town","22-Nov-2024","17-Nov-2025","200000","Sanction"
"10004","Normal/Others","WS/MP18024/2025-2026/154007-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Assam","SIVASAGAR(Deputy Commissioner Sivsagar_IDA)","GAURAV GOGOI","JORHAT","Construction of Boundary Wall at Konwerpur & Baruah Chuk Rajahuwa Kabarsthan, Sensuwa Gaon, Chaulkora GP","22-Nov-2024","06-Sep-2025","200000","Sanction"
"10005","Normal/Others","WS/MP18024/2025-2026/154008-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","SIVASAGAR(Deputy Commissioner Sivsagar_IDA)","GAURAV GOGOI","JORHAT","Development of Dhupaboria Konwer School Path, Dhupaboria, Panbecha GP","22-Nov-2024","06-Sep-2025","200000","Sanction"
"10006","Normal/Others","WS/MP18024/2025-2026/154009-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","SIVASAGAR(Deputy Commissioner Sivsagar_IDA)","GAURAV GOGOI","JORHAT","Construction of Road at Konwarpur Boliaghat Maz Gaon, 2 No Boliaghat, Konwarpur GP","22-Nov-2024","16-Dec-2025","200000","Vendor Identification"
"10007","Normal/Others","WS/MP18024/2025-2026/154010-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","SIVASAGAR(Deputy Commissioner Sivsagar_IDA)","GAURAV GOGOI","JORHAT","Development of Rongagara Path, Gohain Gaon, Dulakakharia GP","22-Nov-2024","09-Mar-2026","200000","Sanction"
"10008","Normal/Others","WS/MP18024/2025-2026/154011-Construction of public toilets and bathrooms","Assam","SIVASAGAR(Deputy Commissioner Sivsagar_IDA)","GAURAV GOGOI","JORHAT","Construction of latrine and Toilet at Changmai Gaon Namghar & Cultural Centre, Cherekapar GP","22-Nov-2024","30-Dec-2025","250000","Vendor Identification"
"10009","Normal/Others","WS/MP18024/2025-2026/154012-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","SIVASAGAR(Deputy Commissioner Sivsagar_IDA)","GAURAV GOGOI","JORHAT","Developments of Kakoti Path, Salaguri GP","22-Nov-2024","09-Mar-2026","200000","Vendor Identification"
"10010","Normal/Others","WS/MP18234/2024-2025/154013-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","Vikas khand Patti, Village - Sarsatpur (Sarai Paschim) me Ramjanam ke ghar road se Haripal ke ghar tak Interlocking road.","22-Nov-2024","05-Feb-2025","386500","Physical Inspection"
"10011","Normal/Others","WS/MP18062/2024-2025/154014-Purchase of mobile water tankers","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","JAI PARKASH","HISAR","Providing of water tanker for drinking water to public","22-Nov-2024","09-Jan-2025","150000","Vendor Identification"
"10012","Normal/Others","WS/MP18062/2024-2025/154015-Development of public parks","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","JAI PARKASH","HISAR","Const of Park in Village Mayyer","22-Nov-2024","30-Jan-2025","500000","Vendor Identification"
"10013","Normal/Others","WS/MP18062/2024-2025/154016-Installation of multi-gym equipment","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","JAI PARKASH","HISAR","Supplying and installation of Gym equipments in village Mayyer","22-Nov-2024","30-Jan-2025","344500","Vendor Identification"
"10014","Normal/Others","WS/MP18062/2025-2026/154017-Construction of buildings for community cultural activities","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","JAI PARKASH","HISAR","const of Jangra Chaupal at village Rajli","22-Nov-2024","25-Apr-2025","800000","Vendor Identification"
"10015","Normal/Others","WS/MP18062/2024-2025/154018-Construction of community centers and community halls","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","JAI PARKASH","HISAR","Const. of Dhanak Chopal at village Khokha (SC)","22-Nov-2024","30-Jan-2025","500000","Vendor Identification"
"10016","Normal/Others","WS/MP18062/2024-2025/154019-Construction of additional rooms and halls in the existing public and community building","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","JAI PARKASH","HISAR","Completion of Dhanak Choupal of Ladwa Bhagat Singh Mazdoor Sangh (SC)","22-Nov-2024","30-Jan-2025","399944","Sanction"
"10017","Normal/Others","WS/MP18062/2024-2025/154020-Purchase of mobile water tankers","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","JAI PARKASH","HISAR","supply of water tanker for drinking water in ward no 14 Barwala","22-Nov-2024","09-Jan-2025","150000","Vendor Identification"
"10018","Normal/Others","WS/MP18062/2025-2026/154021-Installing tube-wells and borewells","Haryana","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","JAI PARKASH","HISAR","Installation of submersible Tubwell in GP Dhanana-III","22-Nov-2024","01-Jul-2025","215000","Sanction"
"10019","Normal/Others","WS/MP18062/2024-2025/154022-Fitting of Sitting RCC Benches in Public Places","Haryana","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","JAI PARKASH","HISAR","Suppling and fixing of RCC sitting benches for public place in GP Dhanana -III","22-Nov-2024","13-Feb-2025","100000","Work Completed"
"10020","Normal/Others","WS/MP18062/2024-2025/154024-Construction of roads, link roads, pathways or any other road with or without drainage system","Haryana","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","JAI PARKASH","HISAR","Construction of IPB street from Talu road to Inder Singh s/o Tak Ram house in GP Kungar","22-Nov-2024","13-Feb-2025","500000","Vendor Identification"
"10021","Normal/Others","WS/MP18062/2024-2025/154025-Construction of community centers and community halls","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","JAI PARKASH","HISAR","Construction hall room in Dhanak Chopal at GP Kheri Gangan (SC)","22-Nov-2024","30-Jan-2025","900000","Vendor Identification"
"10022","Normal/Others","WS/MP18062/2024-2025/154026-Construction of roads, link roads, pathways or any other road with or without drainage system","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","JAI PARKASH","HISAR","Construction of IPB street from Ajit s/o Bharat Singh to Main street at GP Sorkhi","22-Nov-2024","30-Jan-2025","299950","Vendor Identification"
"10023","Normal/Others","WS/MP18062/2025-2026/154027-Purchase of non-conventional energy system and devices for community use","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","JAI PARKASH","HISAR","Supplying and installation of solar panel system 50KW in CRM Jat College Hisar near railway station","22-Nov-2024","25-Jul-2025","1700000","Physical Inspection"
"10024","Normal/Others","WS/MP18062/2024-2025/154028-Construction of public libraries and reading rooms","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","JAI PARKASH","HISAR","Construction of public library at GP Kirtan","22-Nov-2024","30-Jan-2025","599820","Vendor Identification"
"10025","Normal/Others","WS/MP18062/2024-2025/154029-Installation of multi-gym equipment","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","JAI PARKASH","HISAR","Supplying and installation of Gym equipment at GP Kirtan","22-Nov-2024","30-Jan-2025","299226","Vendor Identification"
"10026","Normal/Others","WS/MP18062/2024-2025/154030-Construction of public libraries and reading rooms","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","JAI PARKASH","HISAR","Construction of Girl's library building at GP Mater Sham","22-Nov-2024","30-Jan-2025","500000","Vendor Identification"
"10027","Normal/Others","WS/MP18062/2024-2025/154033-Construction of buildings for multi-gym","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","JAI PARKASH","HISAR","Construction of hall room for multipurpose gym in School ground","22-Nov-2024","30-Jan-2025","1000000","Vendor Identification"
"10028","Normal/Others","WS/MP18062/2024-2025/154034-Construction of additional rooms and halls in the existing public and community building","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","JAI PARKASH","HISAR","Additional construction work of Bejan General Chopal","22-Nov-2024","30-Jan-2025","1000000","Vendor Identification"
"10029","Normal/Others","WS/MP18062/2025-2026/154035-Development of playground","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","JAI PARKASH","HISAR","Providing and fixing mats in Kabdi Hall","22-Nov-2024","26-May-2025","300000","Vendor Identification"
"10030","Repair and Renovation","WS/MP18062/2024-2025/154036-Construction of boundary walls of existing public and community buildings","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","JAI PARKASH","HISAR","Repair of boundary wall of Ambedkar Bhawan (SC) at Gurana","22-Nov-2024","30-Jan-2025","199756","Vendor Identification"
"10031","Normal/Others","WS/MP18062/2024-2025/154037-Purchase of mobile water tankers","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","JAI PARKASH","HISAR","Providing of Two no, drinking water in village Haibatpur","22-Nov-2024","17-Jan-2025","300000","Work partially Completed"
"10032","Repair and Renovation","WS/MP18062/2024-2025/154038-Construction of community centers and community halls","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","JAI PARKASH","HISAR","Repair of General Chopal in GP Kheri Gangan","22-Nov-2024","30-Jan-2025","800000","Sanction"
"10033","Repair and Renovation","WS/MP18062/2024-2025/154041-Construction of community centers and community halls","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","JAI PARKASH","HISAR","Repair of General Chopal in GP Moth Karnail","22-Nov-2024","30-Jan-2025","149792","Vendor Identification"
"10034","Normal/Others","WS/MP18062/2024-2025/154042-Construction of community centers and community halls","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","JAI PARKASH","HISAR","Construction of Hall room and boundary wall  in Balmiki Chopal","22-Nov-2024","30-Jan-2025","996844","Vendor Identification"
"10035","Repair and Renovation","WS/MP18062/2024-2025/154043-Construction of community centers and community halls","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","JAI PARKASH","HISAR","Repair of Harijan Chopal (SC) at Singwa Khas","22-Nov-2024","31-Jan-2025","500000","Vendor Identification"
"10036","Normal/Others","WS/MP18062/2025-2026/154045-Construction of common work sheds/ common covered sitting area","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","JAI PARKASH","HISAR","construction of shed in kirmara gaushala in village Kirmara block Agroha","22-Nov-2024","08-Apr-2025","2099996","Vendor Identification"
"10037","Normal/Others","WS/MP18062/2024-2025/154046-Construction of community centers and community halls","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","JAI PARKASH","HISAR","Additional construction work in Balmiki Chopal  (SC) in GP Matloda","22-Nov-2024","31-Jan-2025","499597","Vendor Identification"
"10038","Normal/Others","WS/MP18062/2024-2025/154047-Construction of community centers and community halls","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","JAI PARKASH","HISAR","Construction of Hall room in BC chopal at GP Sahu","22-Nov-2024","30-Jan-2025","699501","Vendor Identification"
"10039","Normal/Others","WS/MP18062/2024-2025/154048-Construction of common work sheds/ common covered sitting area","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","JAI PARKASH","HISAR","Construction of shed and Boundary wall in Bhatt chopal","22-Nov-2024","31-Jan-2025","899648","Vendor Identification"
"10040","Normal/Others","WS/MP18062/2024-2025/154051-Construction of community centers and community halls","Haryana","JIND(DEPUTY COMMISSIONER JIND)","JAI PARKASH","HISAR","Construction of rooms in Ramdasiya choupal bichla bagad at GP Karsindhu","22-Nov-2024","28-Mar-2025","999856","Work Completed"
