"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"13801","Chhattisgarh","Construction of footpaths and pedestrian ways","WS/MP18336/2025-2026/261937","Balodabazar-Bhatapara(Collector Baloda Bazar_IDA)","BRIJMOHAN AGRAWAL","RAIPUR","15-Apr-2026","GRAM PANCHAYAT PATAN IGR VRIDDHAWASTHA PENSION","Payment Success","175000"
"13802","Chhattisgarh","Construction of footpaths and pedestrian ways","WS/MP18336/2025-2026/261937","Balodabazar-Bhatapara(Collector Baloda Bazar_IDA)","BRIJMOHAN AGRAWAL","RAIPUR","03-Feb-2026","GRAM PANCHAYAT PATAN IGR VRIDDHAWASTHA PENSION","Payment Success","525000"
"13803","Punjab","Construction of rooms and halls in school and colleges","WS/MP381/2025-2026/227411","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","19-Feb-2026","TARSEM SINGH","Payment Success","16800"
"13804","Karnataka","Construction of community centers and community halls","WS/MP18263/2025-2026/173611","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","KOTA SRINIVAS POOJARY","UDUPI CHIKMAGALUR","05-Feb-2026","RAKSHITH N R","Payment Success","498693"
"13805","Punjab","Construction of rooms and halls in school and colleges","WS/MP381/2025-2026/227411","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","19-Feb-2026","HARDEEP SINGH","Payment Success","14500"
"13806","Rajasthan","Fitting of Sitting RCC Benches in Public Places","WS/MP18170/2025-2026/227387","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","AMRARAM","SIKAR","03-Feb-2026","Premaram","Payment Success","22100"
"13807","Rajasthan","Fitting of Sitting RCC Benches in Public Places","WS/MP18170/2025-2026/227387","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","AMRARAM","SIKAR","03-Feb-2026","Shravan Ram","Payment Success","22100"
"13808","Maharashtra","Construction of community centers and community halls","WS/MP18120/2025-2026/189536","YAVATMAL(DISTRICT COLLECTOR YAVATMAL_IDA)","AASHTIKAR PATIL NAGESH BAPURAO","HINGOLI","16-Feb-2026","SHUBHAM VILASRAO CHAVHAN","Payment Success","991576"
"13809","Rajasthan","Fitting of Sitting RCC Benches in Public Places","WS/MP18170/2025-2026/227387","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","AMRARAM","SIKAR","03-Feb-2026","Madhubala","Payment Success","7410"
"13810","Rajasthan","Fitting of Sitting RCC Benches in Public Places","WS/MP18170/2025-2026/227387","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","AMRARAM","SIKAR","03-Feb-2026","Nikita","Payment Success","7125"
"13811","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222292","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","20-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13812","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222291","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","20-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13813","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222295","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","20-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13814","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222289","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","20-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13815","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222290","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","20-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13816","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222287","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","20-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13817","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222277","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","20-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13818","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222280","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","20-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13819","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222281","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","20-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13820","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222283","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","20-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13821","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222272","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","20-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13822","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222273","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","20-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13823","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222275","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","20-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13824","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222271","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","20-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13825","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222269","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","20-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13826","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222263","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","20-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13827","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222262","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","20-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13828","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222475","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","22-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13829","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222478","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","22-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13830","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222479","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","22-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13831","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222480","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","22-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13832","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222482","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","22-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13833","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222483","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","22-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13834","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222484","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","22-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13835","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222474","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","22-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13836","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222467","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","22-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13837","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222463","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","22-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13838","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222465","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","22-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13839","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222456","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","22-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13840","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222457","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","22-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13841","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222458","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","22-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13842","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222448","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","22-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13843","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222444","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","22-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13844","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222445","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","22-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13845","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222442","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","22-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13846","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222443","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","22-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13847","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222447","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","22-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13848","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222449","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","22-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13849","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222450","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","22-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13850","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222451","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","22-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13851","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222452","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","22-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13852","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222453","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","22-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13853","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222454","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","22-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13854","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222455","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","22-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13855","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222488","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","22-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13856","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222489","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","22-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13857","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222490","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","22-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13858","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222492","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","22-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13859","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222487","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","22-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13860","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222486","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","22-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13861","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222439","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","22-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13862","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222436","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","22-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13863","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222435","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","22-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13864","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222438","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","22-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13865","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222293","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","20-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13866","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222424","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","20-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13867","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222425","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","20-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13868","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222294","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","20-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13869","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222423","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","20-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13870","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222426","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","20-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13871","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222427","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","20-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13872","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222428","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","20-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13873","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222429","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","20-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13874","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222430","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","20-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13875","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222431","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","20-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13876","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222432","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","20-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13877","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222433","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","20-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13878","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222434","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","20-Jun-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13879","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222288","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","18-Mar-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13880","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222266","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","19-Feb-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13881","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222267","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","19-Feb-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13882","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222268","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","19-Feb-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13883","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222270","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","19-Feb-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13884","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222264","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","19-Feb-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13885","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222265","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","19-Feb-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13886","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222279","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","19-Feb-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13887","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222278","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","19-Feb-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13888","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222282","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","19-Feb-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13889","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222284","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","19-Feb-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13890","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222437","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","19-Feb-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13891","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222440","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","19-Feb-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13892","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222441","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","19-Feb-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13893","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222446","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","19-Feb-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13894","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222460","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","19-Feb-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13895","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222462","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","19-Feb-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13896","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222464","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","19-Feb-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13897","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222466","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","19-Feb-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
"13898","Uttar Pradesh","Installing hand pumps","WS/MP18225/2025-2026/222473","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","19-Feb-2026","MOHAMMAD SIDDEQ","Payment Success","73911"
