"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"9950","Gujarat","Construction of footpaths and pedestrian ways","WS/MP582/2025-2026/239541","SURAT(DISTRICT COLLECTOR SURAT_IDA)","Prabhubhai Nagarbhai Vasava","BARDOLI(ST)","24-Mar-2026","SARPANCH SHRI DELADVA GRAM PANCHAYAT","Payment Success","400000"
"9951","Punjab","Establishing public ground water recharging facilities","WS/MP381/2025-2026/227415","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","19-Mar-2026","Bhullar Cement Store","Payment Success","475614"
"9952","Punjab","Providing drains and gutters for public drainage","WS/MP381/2025-2026/257682","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","19-Mar-2026","Bhullar Cement Store","Payment Success","282726"
"9953","Odisha","Construction of community centers and community halls","WS/MP18148/2025-2026/170188","NABARANGPUR(DISTRICT COLLECTOR NABARANGPUR_IDA)","BALABHADRA MAJHI","NABARANGPUR(ST)","19-Mar-2026","MS BUILD WORKS CORPORATION","Payment Success","189500"
"9954","Punjab","Providing drains and gutters for public drainage","WS/MP381/2025-2026/257682","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","19-Mar-2026","Ranjit Singh","Payment Success","17274"
"9955","Punjab","Establishing public ground water recharging facilities","WS/MP381/2025-2026/227415","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","19-Mar-2026","Ranjit Singh","Payment Success","24386"
"9956","Andhra Pradesh","Construction of community centers and community halls","WS/MP524/2025-2026/211591","CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)","Midhun Reddy","RAJAMPET","24-Mar-2026","GUNDLURU NAVEEN KUMAR","Payment Success","491872"
"9957","Karnataka","Construction of community centers and community halls","WS/MP623/2025-2026/166079","VIJAYAPURA(DEPUTY COMMISSIONER BIJAPUR_IDA)","Ramesh Chandappa Jigajinagi","BIJAPUR(SC)","15-Apr-2026","GANGADHAR SHIVARAY NIMBAL","Payment Success","300000"
"9958","Karnataka","Construction of community centers and community halls","WS/MP623/2025-2026/166079","VIJAYAPURA(DEPUTY COMMISSIONER BIJAPUR_IDA)","Ramesh Chandappa Jigajinagi","BIJAPUR(SC)","19-Jun-2026","GANGADHAR SHIVARAY NIMBAL","Payment Success","98124"
"9959","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18163/2025-2026/255821","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","MURARI LAL MEENA","DAUSA(ST)","12-May-2026","ramdayal saini","Payment Success","7500"
"9960","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18163/2025-2026/255821","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","MURARI LAL MEENA","DAUSA(ST)","12-May-2026","rajesh kumar gurjar","Payment Success","6750"
"9961","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18163/2025-2026/255821","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","MURARI LAL MEENA","DAUSA(ST)","12-May-2026","monika devi","Payment Success","3990"
"9962","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18163/2025-2026/255821","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","MURARI LAL MEENA","DAUSA(ST)","12-May-2026","gita devi saini","Payment Success","3705"
"9963","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18163/2025-2026/255821","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","MURARI LAL MEENA","DAUSA(ST)","12-May-2026","urmila devi","Payment Success","3705"
"9964","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18163/2025-2026/255821","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","MURARI LAL MEENA","DAUSA(ST)","12-May-2026","manni devi","Payment Success","3705"
"9965","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18163/2025-2026/255821","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","MURARI LAL MEENA","DAUSA(ST)","12-May-2026","rekha","Payment Success","3705"
"9966","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18163/2025-2026/255821","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","MURARI LAL MEENA","DAUSA(ST)","12-May-2026","pooja saini","Payment Success","3705"
"9967","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18163/2025-2026/255821","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","MURARI LAL MEENA","DAUSA(ST)","12-May-2026","kavita meena","Payment Success","3705"
"9968","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18163/2025-2026/255821","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","MURARI LAL MEENA","DAUSA(ST)","12-May-2026","tofali devi","Payment Success","3705"
"9969","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18163/2025-2026/255821","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","MURARI LAL MEENA","DAUSA(ST)","12-May-2026","rakesh kumar meena","Payment Success","3705"
